time,side,spread_pts,ema1,ema2,c1,c2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
2025.01.02 19:55,BUY,13,2655.631998369505,2655.538524513663,2656.52,2654.98,153.99999999999636,188.0000000000109,-63.99999999998727,-65.0000000000091,48.00000000000182,-255.99999999999454,-205.0000000000182,46.00000000000364,-101.99999999999818,79.99999999997272
2025.01.02 20:40,BUY,12,2655.8378131789705,2655.8354777241257,2655.86,2655.23,63.000000000010914,76.00000000002183,-48.00000000000182,-88.00000000001091,-175.0,92.99999999998363,-109.9999999999909,26.99999999999818,96.00000000000364,153.99999999999636
2025.01.02 21:00,BUY,12,2655.7024256934956,2655.701628398074,2655.71,2655.47,24.000000000023647,40.99999999998545,-34.00000000001455,-46.00000000000364,63.000000000010914,76.00000000002183,-48.00000000000182,-88.00000000001091,-175.0,92.99999999998363
2025.01.02 21:25,BUY,13,2655.4223173269315,2655.4015086245035,2655.62,2655.12,50.0,32.999999999992724,23.00000000000182,-3.999999999996362,-111.00000000001273,24.000000000023647,40.99999999998545,-34.00000000001455,-46.00000000000364,63.000000000010914
2025.01.02 21:50,BUY,13,2655.422354586946,2655.4120761224135,2655.52,2654.99,53.00000000002001,9.999999999990905,-123.00000000000182,38.000000000010914,11.999999999989086,50.0,32.999999999992724,23.00000000000182,-3.999999999996362,-111.00000000001273
2025.01.02 22:05,BUY,13,2655.3562952285783,2655.3148526210603,2655.75,2654.92,82.99999999999272,19.000000000005457,-78.99999999999636,53.00000000002001,9.999999999990905,-123.00000000000182,38.000000000010914,11.999999999989086,50.0,32.999999999992724
2025.01.02 23:55,BUY,17,2657.9559973766777,2657.953470784749,2657.98,2657.35,63.000000000010914,13.000000000010914,-70.00000000002728,-0.9999999999763531,73.00000000000182,-97.00000000002547,28.00000000002001,-57.00000000001637,-36.999999999989086,-101.99999999999818
2025.01.03 01:10,BUY,13,2657.9427584501277,2657.9356803922465,2658.01,2657.92,9.000000000014552,15.999999999985448,-21.99999999997999,63.000000000010914,13.000000000010914,-70.00000000002728,-0.9999999999763531,73.00000000000182,-97.00000000002547,28.00000000002001
2025.01.03 01:50,BUY,12,2658.3342917386317,2658.314743500593,2658.52,2658.26,25.999999999976353,-88.99999999998727,34.999999999990905,-13.999999999987267,23.00000000000182,26.000000000021828,7.999999999992724,35.99999999996726,9.000000000014552,15.999999999985448
2025.01.03 02:45,BUY,13,2659.347782812322,2659.277023108356,2660.02,2659.06,96.00000000000364,-34.00000000001455,-46.99999999997999,-1.0000000000218279,20.000000000027285,-105.00000000001819,-5.999999999994543,1.999999999998181,48.00000000000182,190.99999999998545
2025.01.03 03:55,BUY,13,2659.1202522310905,2659.092910360679,2659.38,2658.79,59.00000000001455,59.999999999990905,115.99999999998545,-109.9999999999909,-75.99999999997635,-3.999999999996362,0.9999999999763531,-117.00000000000728,-78.99999999999636,82.99999999999272
2025.01.03 04:05,BUY,11,2658.8933584023216,2658.8821329709867,2659.0,2656.62,238.0000000000109,-276.0000000000218,59.00000000001455,59.999999999990905,115.99999999998545,-109.9999999999909,-75.99999999997635,-3.999999999996362,0.9999999999763531,-117.00000000000728
2025.01.03 06:05,BUY,13,2662.167916980092,2662.162434556944,2662.22,2662.13,8.999999999969077,-13.000000000010914,-35.99999999996726,-61.999999999989086,88.99999999998727,-36.00000000001273,-69.99999999998181,-16.000000000030923,-111.99999999998909,55.99999999999454
2025.01.03 06:55,BUY,13,2662.6115061463242,2662.5811383722535,2662.9,2662.48,42.000000000007276,3.999999999996362,7.000000000016371,-7.999999999992724,-46.00000000000364,-114.00000000003274,15.000000000009095,61.999999999989086,51.99999999999818,54.00000000004184
2025.01.03 08:50,BUY,13,2659.3363602914633,2659.291766637933,2659.76,2659.13,63.000000000010914,-15.000000000009095,36.00000000001273,88.99999999998727,76.00000000002183,-96.99999999997999,-98.00000000000182,71.99999999997999,-138.0000000000109,180.99999999999454
2025.01.03 11:00,BUY,13,2653.7706854166154,2653.611810197312,2655.28,2652.96,232.00000000001637,-51.99999999999818,332.9999999999927,-269.00000000000546,63.000000000010914,36.00000000001273,-71.00000000000364,-134.00000000001455,107.99999999999272,-103.99999999999636
2025.01.03 11:10,BUY,13,2653.842624570064,2653.7639534721757,2654.59,2653.7,89.00000000003274,-158.0000000000382,232.00000000001637,-51.99999999999818,332.9999999999927,-269.00000000000546,63.000000000010914,36.00000000001273,-71.00000000000364,-134.00000000001455
2025.01.03 11:20,BUY,13,2653.990901292048,2653.840469849106,2655.42,2653.82,159.9999999999909,-76.99999999999818,89.00000000003274,-158.0000000000382,232.00000000001637,-51.99999999999818,332.9999999999927,-269.00000000000546,63.000000000010914,36.00000000001273
2025.01.03 11:30,BUY,13,2654.0360439148058,2653.9851011689957,2654.52,2653.93,59.00000000001455,-149.00000000002365,159.9999999999909,-76.99999999999818,89.00000000003274,-158.0000000000382,232.00000000001637,-51.99999999999818,332.9999999999927,-269.00000000000546
2025.01.03 12:00,BUY,13,2654.17983487054,2654.0303438042815,2655.6,2653.61,198.99999999997817,0.0,-48.99999999997817,0.9999999999763531,-92.99999999998363,50.0,59.00000000001455,-149.00000000002365,159.9999999999909,-76.99999999999818
2025.01.03 12:40,BUY,13,2654.829549002354,2654.7842383710226,2655.26,2653.6,166.00000000003092,-30.00000000001819,-227.99999999997453,-39.00000000003274,48.00000000000182,-57.999999999992724,70.00000000002728,36.999999999989086,198.99999999997817,0.0
